PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TIME_OF_POSS,TOUCHES,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,SEASON
1626163,Frank Kaminsky,HOU,13.8,481,298,0.68,2022-23
1628373,Frank Ntilikina,DAL,43.1,835,379,2.56,2022-23
1630532,Franz Wagner,ORL,255.2,4230,2560,2.99,2022-23
1627832,Fred VanVleet,TOR,444.0,5837,2538,4.17,2022-23
1627788,Furkan Korkmaz,PHI,25.8,524,339,2.32,2022-23
1629216,Gabe Vincent,MIA,190.5,2930,1324,3.24,2022-23
1628221,Gabe York,IND,1.7,62,50,1.16,2022-23
202066,Garrett Temple,NOP,6.5,208,128,1.17,2022-23
1629726,Garrison Mathews,ATL,17.2,751,488,0.43,2022-23
203914,Gary Harris,ORL,34.8,1032,773,1.44,2022-23
1627780,Gary Payton II,GSW,13.0,508,286,0.65,2022-23
1629018,Gary Trent Jr.,TOR,104.1,2546,1972,1.89,2022-23
201588,George Hill,IND,104.8,1460,573,3.82,2022-23
1627777,Georges Niang,PHI,50.3,2243,1201,0.45,2022-23
203507,Giannis Antetokounmpo,MIL,330.7,4896,2286,2.98,2022-23
1629048,Goga Bitadze,ORL,18.8,690,447,0.59,2022-23
201609,Goran Dragic,MIL,134.4,1893,746,3.71,2022-23
202330,Gordon Hayward,CHA,119.6,2451,1772,1.94,2022-23
203476,Gorgui Dieng,SAS,20.9,634,435,0.74,2022-23
1629684,Grant Williams,BOS,70.8,2347,1285,0.76,2022-23
1628960,Grayson Allen,MIL,99.6,2522,1671,1.43,2022-23
1630535,Greg Brown III,POR,3.3,85,54,1.33,2022-23
1628977,Hamidou Diallo,DET,59.6,1528,755,1.67,2022-23
203084,Harrison Barnes,SAC,136.8,3764,2429,1.12,2022-23
1629312,Haywood Highsmith,MIA,32.2,1109,640,0.95,2022-23
1630529,Herbert Jones,NOP,102.4,2828,1537,1.12,2022-23
1630193,Immanuel Quickley,NYK,318.7,4211,2030,3.97,2022-23
1630171,Isaac Okoro,CLE,47.7,1506,970,1.0,2022-23
1628392,Isaiah Hartenstein,NYK,57.4,2443,1176,0.28,2022-23
1630543,Isaiah Jackson,IND,32.3,1429,910,0.42,2022-23
1630198,Isaiah Joe,OKC,61.5,1838,1151,1.33,2022-23
1630587,Isaiah Livers,DET,42.5,1324,833,0.91,2022-23
1630600,Isaiah Mobley,CLE,5.4,140,76,0.92,2022-23
1629676,Isaiah Roby,NYK,25.5,770,424,0.99,2022-23
1630191,Isaiah Stewart,DET,54.4,1923,1088,0.71,2022-23
1630225,Isaiah Todd,WAS,2.5,81,51,0.84,2022-23
202397,Ish Smith,DEN,79.5,931,346,5.01,2022-23
1630688,Ish Wainright,PHX,23.7,944,612,0.72,2022-23
1627826,Ivica Zubac,LAC,80.8,3231,1541,0.45,2022-23
1631120,JD Davison,BOS,8.6,115,46,4.16,2022-23
