PLAYER_NAME,POS,AGE,TEAM,GP,MP,PG%,SG%,SF%,PF%,C%,ON-COURT,ON_OFF,BAD_PASS,LOST_BALL,FOUL_SHOOT,OFF_FOUL,FOUL_SHOOT_DRAWN,OFF_FOUL_DRAWN,PGA,AND1,BLKD
Andre Drummond,C,26,CLE,8,225,,,,,100%,-16.6,-9.2,12,6,13,6,20,0,33,7,11
,,,,,,,,,,,,,,,,,,,,,
Jared Dudley,PF,34,LAL,45,364,,,18%,79%,3%,3.7,-2.3,6,1,19,0,0,5,67,0,2
Kris Dunn,PG,25,CHI,51,1269,81%,19%,,,,-0.6,4.6,37,12,65,11,23,8,420,8,20
Carsen Edwards,SG,21,BOS,37,351,12%,87%,1%,,,-6.1,-14.0,10,0,18,2,6,4,54,1,7
Henry Ellenson,C,23,BRK,5,15,,,,22%,78%,36.9,37.7,0,0,1,0,0,0,3,0,1
Wayne Ellington,SG,32,NYK,36,558,12%,85%,3%,,,-2.1,5.1,7,6,20,3,4,3,106,1,5
Joel Embiid,C,25,PHI,51,1506,,,,,100%,5.2,5.0,50,56,80,31,177,9,361,44,42
James Ennis III,SF-SG,29,TOT,69,1265,,26%,67%,8%,,0.9,-0.2,21,17,64,15,46,11,149,8,21
James Ennis III,SF,29,PHI,49,776,,5%,92%,3%,,1.6,-0.9,12,8,41,8,26,7,95,5,15
James Ennis III,SG,29,ORL,20,489,,60%,26%,14%,,-0.2,1.0,9,9,23,7,20,4,54,3,6
Drew Eubanks,C,22,SAS,22,272,,,,3%,97%,-11.5,-11.3,9,5,24,5,11,2,38,1,8
Jacob Evans,SG,22,TOT,29,418,24%,65%,11%,,,-10.5,-2.1,17,3,27,2,14,6,74,1,11
Jacob Evans,SG,22,GSW,27,414,25%,65%,11%,,,-11.3,-2.9,17,3,27,2,14,6,74,1,11
Jacob Evans,SG,22,MIN,2,4,,100%,,,,74.7,79.5,0,0,0,0,0,0,0,0,0
Dante Exum,SG,24,TOT,35,485,8%,69%,23%,1%,,-9.6,-3.6,18,6,14,3,21,8,93,3,9
Dante Exum,SG,24,UTA,11,83,24%,32%,44%,,,-7.8,-10.3,7,0,4,1,1,0,15,0,3
Dante Exum,SG,24,CLE,24,402,4%,76%,19%,1%,,-10.0,-2.2,11,6,10,2,20,8,78,3,6
Tacko Fall,C,24,BOS,7,33,,,,,100%,14.8,8.4,0,2,6,0,2,0,2,1,1
Derrick Favors,C,28,NOP,51,1243,,,,,100%,4.5,9.0,28,4,69,12,39,3,210,14,25
Cristiano Felício,C,27,CHI,22,386,,,,1%,99%,-8.4,-5.7,8,4,14,4,12,0,42,3,7
Terrance Ferguson,SF,21,OKC,56,1257,,6%,89%,6%,,-4.4,-9.4,14,6,67,6,9,17,127,2,5
Bruno Fernando,C,21,ATL,56,713,,,,11%,89%,-6.4,2.0,20,13,65,6,24,3,119,8,20
Yogi Ferrell,PG,26,SAC,50,530,100%,,,,,-2.6,-0.6,14,4,11,3,13,16,170,1,10
Dorian Finney-Smith,PF,26,DAL,71,2120,,1%,57%,43%,,7.0,4.9,31,17,81,11,50,9,282,10,32
Bryn Forbes,SG,26,SAS,63,1579,26%,74%,1%,,,-7.0,-10.6,22,17,59,7,38,4,246,8,28
Evan Fournier,SF,27,ORL,66,2076,,31%,64%,5%,,-1.9,-2.1,52,40,51,19,89,16,470,25,30
De'Aaron Fox,PG,22,SAC,51,1634,98%,2%,,,,-4.2,-4.0,83,53,53,16,169,23,884,35,48
,,,,,,,,,,,,,,,,,,,,,
