SEASON,PLAYER_NAME,TEAM_ID,POS_EST
2013-14,Richard Jefferson,1610612762.0,3.03
2013-14,John Jenkins,1610612737.0,2.17
2013-14,Brandon Jennings,1610612765.0,1.0
2013-14,Jonas Jerebko,1610612765.0,4.03
2013-14,Amir Johnson,1610612761.0,4.16
2013-14,Chris Johnson,1610612738.0,2.4
2013-14,James Johnson,1610612763.0,3.14
2013-14,Joe Johnson,1610612751.0,2.41
2013-14,Orlando Johnson,,2.11
2013-14,Orlando Johnson,1610612754.0,2.06
2013-14,Orlando Johnson,1610612758.0,2.23
2013-14,Wesley Johnson,1610612747.0,3.3
2013-14,Darius Johnson-Odom,1610612755.0,1.43
2013-14,James Jones,1610612748.0,2.44
2013-14,Perry Jones,1610612760.0,4.43
2013-14,Solomon Jones,1610612753.0,4.39
2013-14,Terrence Jones,1610612745.0,4.05
2013-14,DeAndre Jordan,1610612746.0,4.99
2013-14,Cory Joseph,1610612759.0,1.49
2013-14,Chris Kaman,1610612747.0,4.98
2013-14,Sergey Karasev,1610612739.0,2.96
2013-14,Ryan Kelly,1610612747.0,4.23
2013-14,Michael Kidd-Gilchrist,1610612766.0,2.91
2013-14,Andrei Kirilenko,1610612751.0,3.95
2013-14,Brandon Knight,1610612749.0,1.11
2013-14,Kyle Korver,1610612737.0,2.29
2013-14,Kosta Koufos,1610612763.0,5.0
2013-14,Viacheslav Kravtsov,1610612756.0,5.0
2013-14,Ognjen Kuzmic,1610612744.0,5.0
2013-14,Doron Lamb,1610612753.0,2.6
2013-14,Jeremy Lamb,1610612760.0,2.25
2013-14,Carl Landry,1610612758.0,4.59
2013-14,Shane Larkin,1610612742.0,1.0
2013-14,Ty Lawson,1610612743.0,1.24
2013-14,Ricky Ledo,1610612742.0,2.77
2013-14,Courtney Lee,,1.86
2013-14,Courtney Lee,1610612738.0,2.11
2013-14,Courtney Lee,1610612763.0,1.78
2013-14,David Lee,1610612744.0,4.19
2013-14,Alex Len,1610612756.0,4.97
2013-14,Kawhi Leonard,1610612759.0,3.13
2013-14,Meyers Leonard,1610612757.0,4.82
2013-14,Jon Leuer,1610612763.0,4.64
2013-14,Rashard Lewis,1610612748.0,3.45
2013-14,DeAndre Liggins,1610612748.0,2.0
2013-14,Damian Lillard,1610612757.0,1.34
2013-14,Jeremy Lin,1610612745.0,1.34
2013-14,Shaun Livingston,1610612751.0,1.51
2013-14,Brook Lopez,1610612751.0,5.0
2013-14,Robin Lopez,1610612757.0,5.0
2013-14,Kevin Love,1610612750.0,4.27
2013-14,Kyle Lowry,1610612761.0,1.0
2013-14,John Lucas III,1610612762.0,1.0
2013-14,Shelvin Mack,1610612737.0,1.95
2013-14,Ian Mahinmi,1610612754.0,5.0
2013-14,Shawn Marion,1610612742.0,3.42
2013-14,Kendall Marshall,1610612747.0,1.11
2013-14,Cartier Martin,,2.98
2013-14,Cartier Martin,1610612737.0,3.03
2013-14,Cartier Martin,1610612741.0,2.59
2013-14,Kenyon Martin,1610612752.0,4.2
2013-14,Kevin Martin,1610612750.0,2.02
2013-14,Roger Mason,1610612748.0,1.71
2013-14,Wesley Matthews,1610612757.0,2.26
2013-14,Jason Maxiell,1610612753.0,4.17
2013-14,Eric Maynor,,1.0
2013-14,Eric Maynor,1610612764.0,1.0
2013-14,Eric Maynor,1610612755.0,1.0
2013-14,O.J. Mayo,1610612749.0,2.12
2013-14,Luc Mbah a Moute,,3.23
2013-14,Luc Mbah a Moute,1610612758.0,3.32
2013-14,Luc Mbah a Moute,1610612750.0,3.3
2013-14,Ray McCallum,1610612758.0,1.18
2013-14,CJ McCollum,1610612757.0,1.93
2013-14,JaVale McGee,1610612743.0,5.0
2013-14,Ben McLemore,1610612758.0,2.04
2013-14,Josh McRoberts,1610612766.0,4.05
2013-14,Jodie Meeks,1610612747.0,2.0
2013-14,Gal Mekel,1610612742.0,1.13
2013-14,Khris Middleton,1610612749.0,2.76
2013-14,C.J. Miles,1610612739.0,2.41
2013-14,Andre Miller,,1.58
2013-14,Andre Miller,1610612743.0,1.96
2013-14,Andre Miller,1610612764.0,1.09
2013-14,Darius Miller,1610612740.0,3.04
2013-14,Mike Miller,1610612763.0,2.69
2013-14,Quincy Miller,1610612743.0,3.83
2013-14,Patty Mills,1610612759.0,1.0
2013-14,Paul Millsap,1610612737.0,4.07
2013-14,Tony Mitchell,1610612765.0,3.92
2013-14,Tony Mitchell,1610612749.0,2.35
2013-14,Nazr Mohammed,1610612741.0,4.91
2013-14,Greg Monroe,1610612765.0,4.4
2013-14,E'Twaun Moore,1610612753.0,2.01
2013-14,Darius Morris,,1.02
2013-14,Darius Morris,1610612755.0,1.0
2013-14,Darius Morris,1610612746.0,1.11
2013-14,Darius Morris,1610612763.0,1.0
2013-14,Marcus Morris,1610612756.0,3.45
2013-14,Markieff Morris,1610612756.0,4.25
2013-14,Anthony Morrow,1610612740.0,2.14
2013-14,Donatas Motiejunas,1610612745.0,4.42
2013-14,Arnett Moultrie,1610612755.0,4.69
