SEASON,PLAYER_ID,AGE,EXP
2019-20,1628997.0,24.0,0.0
2022-23,1628997.0,27.0,3.0
2021-22,1628404.0,27.0,4.0
2021-22,1628404.0,27.0,4.0
2020-21,1628404.0,26.0,3.0
2019-20,1628404.0,25.0,2.0
2018-19,1628404.0,24.0,1.0
2017-18,1628404.0,23.0,0.0
2022-23,1628404.0,28.0,5.0
2022-23,1628404.0,28.0,5.0
2021-22,1630182.0,21.0,1.0
2020-21,1630182.0,20.0,0.0
2022-23,1630182.0,22.0,2.0
2021-22,1630581.0,19.0,0.0
2022-23,1630581.0,20.0,1.0
2021-22,1629629.0,22.0,2.0
2021-22,1629629.0,22.0,2.0
2020-21,1629629.0,21.0,1.0
2019-20,1629629.0,20.0,0.0
2022-23,1629629.0,23.0,3.0
2022-23,1629629.0,23.0,3.0
2021-22,1630528.0,20.0,0.0
2022-23,1630528.0,21.0,1.0
2021-22,1630631.0,24.0,0.0
2022-23,1630631.0,25.0,1.0
2021-22,1630560.0,20.0,0.0
2022-23,1630560.0,21.0,1.0
2021-22,1629673.0,22.0,2.0
2020-21,1629673.0,21.0,1.0
2019-20,1629673.0,20.0,0.0
2022-23,1629673.0,23.0,3.0
2021-22,1629661.0,26.0,2.0
2020-21,1629661.0,25.0,1.0
2019-20,1629661.0,24.0,0.0
2022-23,1629661.0,27.0,3.0
2022-23,1629661.0,27.0,3.0
2021-22,1629645.0,22.0,2.0
2020-21,1629645.0,21.0,1.0
2019-20,1629645.0,20.0,0.0
2022-23,1629645.0,23.0,3.0
2022-23,1630284.0,25.0,0.0
2021-22,1629622.0,26.0,2.0
2020-21,1629622.0,25.0,1.0
2019-20,1629622.0,24.0,0.0
2022-23,1629622.0,27.0,3.0
2020-21,203521.0,30.0,7.0
2019-20,203521.0,29.0,6.0
2018-19,203521.0,28.0,5.0
2018-19,203521.0,28.0,5.0
2017-18,203521.0,27.0,4.0
2016-17,203521.0,26.0,3.0
2015-16,203521.0,25.0,2.0
2014-15,203521.0,24.0,1.0
2013-14,203521.0,23.0,0.0
2022-23,203521.0,32.0,8.0
2021-22,1630346.0,25.0,0.0
2022-23,1630346.0,26.0,1.0
2022-23,1630346.0,26.0,1.0
2021-22,201933.0,33.0,11.0
2020-21,201933.0,32.0,10.0
2020-21,201933.0,32.0,10.0
2019-20,201933.0,31.0,9.0
2018-19,201933.0,30.0,8.0
2017-18,201933.0,29.0,7.0
2017-18,201933.0,29.0,7.0
2016-17,201933.0,28.0,6.0
2015-16,201933.0,27.0,5.0
2014-15,201933.0,26.0,4.0
2013-14,201933.0,25.0,3.0
2022-23,201933.0,34.0,12.0
2022-23,1631104.0,20.0,0.0
2021-22,1629680.0,25.0,2.0
2020-21,1629680.0,24.0,1.0
2019-20,1629680.0,23.0,0.0
2022-23,1629680.0,26.0,3.0
2022-23,1629680.0,26.0,3.0
2021-22,203486.0,32.0,8.0
2020-21,203486.0,31.0,7.0
2019-20,203486.0,30.0,6.0
2018-19,203486.0,29.0,5.0
2017-18,203486.0,28.0,4.0
2016-17,203486.0,27.0,3.0
2016-17,203486.0,27.0,3.0
2015-16,203486.0,26.0,2.0
2014-15,203486.0,25.0,1.0
2013-14,203486.0,24.0,0.0
2022-23,203486.0,33.0,9.0
2022-23,203486.0,33.0,9.0
2021-22,1628963.0,23.0,3.0
2021-22,1628963.0,23.0,3.0
2020-21,1628963.0,22.0,2.0
2019-20,1628963.0,21.0,1.0
2018-19,1628963.0,20.0,0.0
2022-23,1628963.0,24.0,4.0
2021-22,1626246.0,33.0,6.0
2020-21,1626246.0,32.0,5.0
2019-20,1626246.0,31.0,4.0
2018-19,1626246.0,30.0,3.0
2018-19,1626246.0,30.0,3.0
2017-18,1626246.0,29.0,2.0
2017-18,1626246.0,29.0,2.0
2016-17,1626246.0,28.0,1.0
2015-16,1626246.0,27.0,0.0
2022-23,1626246.0,34.0,7.0
2021-22,1630250.0,22.0,0.0
2022-23,1630250.0,23.0,1.0
2021-22,202693.0,32.0,10.0
2020-21,202693.0,31.0,9.0
2019-20,202693.0,30.0,8.0
2019-20,202693.0,30.0,8.0
2018-19,202693.0,29.0,7.0
2018-19,202693.0,29.0,7.0
2017-18,202693.0,28.0,6.0
2016-17,202693.0,27.0,5.0
2015-16,202693.0,26.0,4.0
2015-16,202693.0,26.0,4.0
2014-15,202693.0,25.0,3.0
2013-14,202693.0,24.0,2.0
2022-23,202693.0,33.0,11.0
2022-23,202693.0,33.0,11.0
2021-22,1628365.0,23.0,4.0
2020-21,1628365.0,22.0,3.0
2019-20,1628365.0,21.0,2.0
2018-19,1628365.0,20.0,1.0
2017-18,1628365.0,19.0,0.0
2022-23,1628365.0,24.0,5.0
2021-22,1626171.0,27.0,6.0
2020-21,1626171.0,26.0,5.0
2019-20,1626171.0,25.0,4.0
2018-19,1626171.0,24.0,3.0
2018-19,1626171.0,24.0,3.0
2017-18,1626171.0,23.0,2.0
