SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ID,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,TIME_OF_POSS,TEAM,OFF_POSS,BALL_HANDLE%
2019-20,Andre Drummond,203083.0,1610612739,15.028,15.5,CLE,471.0,13.1
2019-20,Andre Drummond,203083.0,1610612765,15.453,123.7,DET,3346.0,14.4
2020-21,Andre Drummond,203083.0,1610612739,15.562,60.8,CLE,1444.0,16.2
2020-21,Andre Drummond,203083.0,1610612747,14.971,26.5,LAL,1044.0,10.2
2021-22,Andre Drummond,203083.0,1610612751,15.039,20.7,BKN,1094.0,7.5
2021-22,Andre Drummond,203083.0,1610612755,15.453,41.2,PHI,1783.0,9.0
2022-23,Andre Drummond,203083.0,1610612741,14.17,27.3,CHI,1727.0,6.7
2013-14,Andre Iguodala,2738.0,1610612744,14.211,179.6,GSW,4063.0,18.7
2014-15,Andre Iguodala,2738.0,1610612744,14.063,170.8,GSW,4174.0,17.5
2015-16,Andre Iguodala,2738.0,1610612744,13.824,131.0,GSW,3565.0,15.9
2016-17,Andre Iguodala,2738.0,1610612744,13.683,145.4,GSW,4133.0,15.4
2017-18,Andre Iguodala,2738.0,1610612744,14.018,144.3,GSW,3322.0,18.6
2018-19,Andre Iguodala,2738.0,1610612744,13.566,108.8,GSW,3305.0,14.6
2019-20,Andre Iguodala,2738.0,1610612748,14.108,28.3,MIA,868.0,13.9
2020-21,Andre Iguodala,2738.0,1610612748,15.001,108.9,MIA,2627.0,16.6
2021-22,Andre Iguodala,2738.0,1610612744,14.643,53.6,GSW,1212.0,18.1
2022-23,Andre Iguodala,2738.0,1610612744,13.759,5.0,GSW,245.0,8.9
2017-18,Andre Ingram,201281.0,1610612747,12.652,1.8,LAL,141.0,6.1
2018-19,Andre Ingram,201281.0,1610612747,12.212,0.6,LAL,33.0,8.9
2013-14,Andre Miller,1889.0,1610612743,15.729,85.5,DEN,1090.0,29.9
2013-14,Andre Miller,1889.0,1610612764,16.209,82.8,WAS,764.0,40.1
2014-15,Andre Miller,1889.0,1610612758,15.141,140.5,SAC,1224.0,45.5
2014-15,Andre Miller,1889.0,1610612764,17.582,143.8,WAS,1134.0,43.3
2015-16,Andre Miller,1889.0,1610612750,16.124,59.8,MIN,518.0,43.0
2015-16,Andre Miller,1889.0,1610612759,16.828,35.0,SAS,338.0,36.9
2013-14,Andre Roberson,203460.0,1610612760,14.567,10.8,OKC,790.0,5.6
2014-15,Andre Roberson,203460.0,1610612760,14.577,41.2,OKC,2558.0,6.6
2015-16,Andre Roberson,203460.0,1610612760,14.428,29.2,OKC,3082.0,3.9
2016-17,Andre Roberson,203460.0,1610612760,13.933,63.9,OKC,4828.0,5.7
2017-18,Andre Roberson,203460.0,1610612760,14.651,19.3,OKC,2024.0,3.9
2019-20,Andre Roberson,203460.0,1610612760,14.016,3.3,OKC,185.0,7.6
2020-21,Andre Roberson,203460.0,1610612751,14.693,1.8,BKN,127.0,5.8
2013-14,Andrea Bargnani,200745.0,1610612752,16.607,50.7,NYK,2361.0,7.8
2014-15,Andrea Bargnani,200745.0,1610612752,16.457,44.8,NYK,1510.0,10.8
2015-16,Andrea Bargnani,200745.0,1610612751,15.78,26.7,BKN,1243.0,8.2
2013-14,Andrei Kirilenko,1905.0,1610612751,16.181,40.2,BKN,1626.0,9.2
2014-15,Andrei Kirilenko,1905.0,1610612751,15.681,1.4,BKN,72.0,7.4
2013-14,Andrew Bogut,101106.0,1610612744,14.223,75.8,GSW,3542.0,9.0
2014-15,Andrew Bogut,101106.0,1610612744,13.479,93.0,GSW,3212.0,12.9
2015-16,Andrew Bogut,101106.0,1610612744,13.717,73.0,GSW,2973.0,10.7
2016-17,Andrew Bogut,101106.0,1610612739,14.0,0.1,CLE,1.0,42.9
2016-17,Andrew Bogut,101106.0,1610612742,17.155,27.4,DAL,1102.0,8.7
2017-18,Andrew Bogut,101106.0,1610612747,14.845,10.2,LAL,444.0,9.3
