"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Norman Powell","POR",6,216,423,102,28,50,0.56,10,26,0.38461538461538464,0.38461538461538464,16,32,24,30,0,0.5714285714285714,0.5925925925925926,1,0.34210526315789475,0.5468592105263158,0.5657894736842105,0.6071428571428571,2,6,0.12,0,0,19.11764705882353
"Landry Shamet","BKN",12,206,400,50,8,15,0.5333333333333333,10,26,0.38461538461538464,0.38461538461538464,4,12,4,27,3,0.75,0.75,0.9,0.6341463414634146,0.540820731707317,0.5609756097560976,0.5813953488372093,0,4,0.26666666666666666,1,0.038461538461538464,11.136363636363635
"George Hill","PHI",12,205,426,56,11,24,0.4583333333333333,8,19,0.42105263157894735,0.42105263157894735,10,10,12,18,6,0.45454545454545453,0.45454545454545453,0.75,0.4418604651162791,0.5197186046511628,0.5348837209302325,0.5714285714285714,0,3,0.125,0,0,12.291666666666668
"Ja Morant","MEM",5,203,414,151,45,82,0.5487804878048781,10,31,0.3225806451612903,0.3225806451612903,31,10,80,9,21,0.1111111111111111,0.11627906976744186,0.3,0.2743362831858407,0.482391592920354,0.5309734513274337,0.5763358778625954,4,9,0.10975609756097561,0,0,31.422505307855626
"Danny Green","PHI",8,198,423,56,7,11,0.6363636363636364,14,37,0.3783783783783784,0.3888888888888889,0,4,10,42,0,0.2857142857142857,0.3333333333333333,1,0.7708333333333334,0.5642287234042553,0.5833333333333334,0.5833333333333334,2,0,0,0,0,11.300639658848613
"Dennis Schroder","LAL",6,196,381,86,20,44,0.45454545454545453,8,26,0.3076923076923077,0.3076923076923077,22,18,22,18,6,0.45,0.45,0.75,0.37142857142857144,0.5195864285714286,0.45714285714285713,0.51875,0,6,0.13636363636363635,1,0.038461538461538464,20.833333333333332
"Bradley Beal","WAS",5,195,416,150,49,91,0.5384615384615384,7,32,0.21875,0.21875,31,28,70,15,6,0.2857142857142857,0.2978723404255319,0.7142857142857143,0.2601626016260163,0.4874479674796748,0.483739837398374,0.5321428571428571,4,14,0.15384615384615385,0,0,34.11513859275053
"Furkan Korkmaz","PHI",12,195,413,84,16,29,0.5517241379310345,14,44,0.3181818181818182,0.3181818181818182,10,22,10,42,0,0.6875,0.8461538461538461,1,0.6027397260273972,0.5468280821917808,0.5068493150684932,0.5384615384615384,6,0,0,0,0,18.161925601750546
"JaMychal Green","DEN",10,190,354,54,14,25,0.56,6,20,0.3,0.3,8,16,12,18,0,0.5714285714285714,1,1,0.4444444444444444,0.5821144444444445,0.5111111111111111,0.5510204081632653,12,5,0.2,0,0,12.351543942992874
"Maxi Kleber","DAL",7,187,356,37,4,10,0.4,8,20,0.4,0.4,5,8,0,24,0,1,1,1,0.6666666666666666,0.508398275862069,0.5333333333333333,0.5441176470588235,0,3,0.3,0,0,8.436724565756823
